@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":99:13:99:17|Tristate driver GPIO1 on net GPIO1 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":98:13:98:17|Tristate driver GPIO2 on net GPIO2 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":93:13:93:17|Tristate driver GPIO7 on net GPIO7 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":92:13:92:17|Tristate driver GPIO8 on net GPIO8 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":91:13:91:17|Tristate driver GPIO9 on net GPIO9 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":90:13:90:18|Tristate driver GPIO10 on net GPIO10 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":88:13:88:18|Tristate driver GPIO12 on net GPIO12 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":87:13:87:18|Tristate driver GPIO14 on net GPIO14 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":86:13:86:18|Tristate driver GPIO15 on net GPIO15 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":85:13:85:18|Tristate driver GPIO16 on net GPIO16 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":84:13:84:18|Tristate driver GPIO17 on net GPIO17 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":83:13:83:18|Tristate driver GPIO19 on net GPIO19 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":82:13:82:18|Tristate driver GPIO20 on net GPIO20 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":81:13:81:20|Tristate driver en_modul on net en_modul has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":79:13:79:18|Tristate driver dsa_le on net dsa_le has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":78:13:78:20|Tristate driver dsa_data on net dsa_data has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":77:13:77:19|Tristate driver dsa_clk on net dsa_clk has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":75:13:75:18|Tristate driver oclk_1 on net oclk_1 has its enable tied to GND (module led_igloo) 
@W: MO111 :"c:\projects\verilog\led_igloo\led_2\led_2\hdl\led.v":72:13:72:22|Tristate driver SENSE_CS_1 on net SENSE_CS_1 has its enable tied to GND (module led_igloo) 
